chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
101000,1010000000,13658512,7328922,0 days 01:25:52.138620,3.24
102000,1020000000,13753213,7371601,0 days 01:26:35.461376,3.26
103000,1030000000,13870935,7416503,0 days 01:27:21.935710,3.27
104000,1040000000,13989855,7458658,0 days 01:28:09.712745,3.29
105000,1050000000,14104569,7499701,0 days 01:28:58.054116,3.3
106000,1060000000,14230673,7542861,0 days 01:29:47.034929,3.32
107000,1070000000,14357889,7586096,0 days 01:30:39.156314,3.34
108000,1080000000,14522980,7626751,0 days 01:31:27.850196,3.36
109000,1090000000,14657654,7670271,0 days 01:32:15.251813,3.38
110000,1100000000,14797874,7713334,0 days 01:33:02.296375,3.4
111000,1110000000,14926949,7751375,0 days 01:33:47.770298,3.41
112000,1120000000,15089482,7788775,0 days 01:34:38.689737,3.43
113000,1130000000,15240987,7825074,0 days 01:35:26.071186,3.45
114000,1140000000,15381234,7858632,0 days 01:36:10.447885,3.47
115000,1150000000,15576112,7891467,0 days 01:36:57.755732,3.5
116000,1160000000,15688634,7925956,0 days 01:37:40.847004,3.51
117000,1170000000,15825842,7961475,0 days 01:38:29.901284,3.53
118000,1180000000,16011674,7995714,0 days 01:39:17.884171,3.55
119000,1190000000,16158555,8030580,0 days 01:40:02.373545,3.58
120000,1200000000,16305678,8068136,0 days 01:40:48.775762,3.59
121000,1210000000,16444473,8105801,0 days 01:41:32.870871,3.61
122000,1220000000,16594139,8144487,0 days 01:42:19.096960,4.3
123000,1230000000,16711886,8181782,0 days 01:43:02.105993,4.32
124000,1240000000,16835066,8222386,0 days 01:43:43.187353,4.33
125000,1250000000,16961032,8257462,0 days 01:44:23.224085,4.35
126000,1260000000,17095438,8293625,0 days 01:45:03.799259,4.37
127000,1270000000,17235817,8328321,0 days 01:45:45.184909,4.39
128000,1280000000,17372251,8365341,0 days 01:46:29.703386,4.41
129000,1290000000,17555021,8404357,0 days 01:47:12.654810,4.43
130000,1300000000,17711996,8442783,0 days 01:47:55.346444,4.45
131000,1310000000,17860985,8481155,0 days 01:48:37.904318,4.47
132000,1320000000,18016114,8522189,0 days 01:49:20.064358,4.49
133000,1330000000,18171916,8564591,0 days 01:50:02.230999,4.51
134000,1340000000,18315588,8603027,0 days 01:50:44.783304,4.53
135000,1350000000,18450417,8640693,0 days 01:51:25.682144,4.54
136000,1360000000,18582845,8676979,0 days 01:52:03.997650,4.56
137000,1370000000,18726152,8713654,0 days 01:52:42.420120,4.58
138000,1380000000,18879426,8752379,0 days 01:53:21.798702,4.6
139000,1390000000,19056429,8791346,0 days 01:54:02.746432,4.62
140000,1400000000,19185557,8826932,0 days 01:54:44.366772,4.65
141000,1410000000,19311511,8860206,0 days 01:55:22.282523,4.66
142000,1420000000,19431355,8893476,0 days 01:56:00.289059,4.67
143000,1430000000,19520812,8917289,0 days 01:56:32.029182,4.69
144000,1440000000,19635805,8944512,0 days 01:57:06.425956,4.7
145000,1450000000,19752904,8975459,0 days 01:57:42.973826,4.72
146000,1460000000,19869650,9005487,0 days 01:58:23.938149,4.73
147000,1470000000,19985207,9037268,0 days 01:59:03.404700,4.75
148000,1480000000,20117678,9074584,0 days 01:59:43.183779,4.76
149000,1490000000,20270372,9109425,0 days 02:00:25.365478,4.79
150000,1500000000,20397242,9140231,0 days 02:01:07.568381,4.8
151000,1510000000,20523352,9175079,0 days 02:01:52.133924,4.82
152000,1520000000,20649090,9214544,0 days 02:02:34.557334,4.83
153000,1530000000,20769937,9253401,0 days 02:03:15.942082,4.85
154000,1540000000,20893109,9290882,0 days 02:03:56.320167,4.87
155000,1550000000,21026247,9328275,0 days 02:04:37.720688,4.88
156000,1560000000,21125978,9367827,0 days 02:05:17.079862,4.9
157000,1570000000,21226168,9403529,0 days 02:05:55.286231,4.91
158000,1580000000,21303677,9430304,0 days 02:06:32.570485,4.92
159000,1590000000,21426237,9460745,0 days 02:07:10.928294,4.94
160000,1600000000,21565958,9488125,0 days 02:07:51.201228,4.95
161000,1610000000,21667095,9516640,0 days 02:08:30.018505,4.97
162000,1620000000,21788207,9551735,0 days 02:09:12.212266,4.98
163000,1630000000,21910954,9580656,0 days 02:09:50.988436,4.99
164000,1640000000,22030183,9614180,0 days 02:10:33.730807,5.01
165000,1650000000,22136513,9643067,0 days 02:11:14.208533,5.03
166000,1660000000,22218490,9664926,0 days 02:11:49.622104,5.04
167000,1670000000,22318824,9690219,0 days 02:12:26.903600,5.05
168000,1680000000,22441237,9717730,0 days 02:13:05.632662,5.07
169000,1690000000,22575162,9749522,0 days 02:13:47.117494,5.09
170000,1700000000,22728023,9783706,0 days 02:14:29.399617,5.11
171000,1710000000,22876113,9817614,0 days 02:15:13.322096,5.13
172000,1720000000,23017835,9845389,0 days 02:15:55.084682,5.15
173000,1730000000,23156771,9875390,0 days 02:16:38.499029,5.16
174000,1740000000,23323530,9904316,0 days 02:17:22.747687,5.19
175000,1750000000,23499465,9934088,0 days 02:18:08.632630,5.21
176000,1760000000,23722073,9964166,0 days 02:18:57.600438,5.24
177000,1770000000,23912024,9993400,0 days 02:19:45.669075,5.26
178000,1780000000,24083965,10022918,0 days 02:20:31.846943,5.28
179000,1790000000,24270700,10051375,0 days 02:21:20.612437,5.31
180000,1800000000,24449007,10081765,0 days 02:22:12.432570,5.33
181000,1810000000,24613729,10109505,0 days 02:23:02.847396,5.35
182000,1820000000,24778684,10137452,0 days 02:23:52.068992,5.38
183000,1830000000,24956293,10165925,0 days 02:24:42.740160,5.4
184000,1840000000,25158509,10195768,0 days 02:25:33.417645,5.42
185000,1850000000,25354972,10226123,0 days 02:26:24.090714,5.45
186000,1860000000,25554518,10255110,0 days 02:27:14.958018,5.48
187000,1870000000,25745848,10284147,0 days 02:28:03.855149,5.5
188000,1880000000,25907282,10307890,0 days 02:28:48.509481,5.52
189000,1890000000,26062367,10328672,0 days 02:29:33.750715,5.54
190000,1900000000,26224117,10350043,0 days 02:30:20.031485,5.56
191000,1910000000,26391970,10373871,0 days 02:31:14.261138,5.59
192000,1920000000,26543953,10395487,0 days 02:32:01.986585,5.61
193000,1930000000,26716372,10418472,0 days 02:32:50.440439,5.67
194000,1940000000,26892506,10440774,0 days 02:33:39.693561,5.65
195000,1950000000,27056833,10462136,0 days 02:34:27.832576,5.68
196000,1960000000,27252526,10484523,0 days 02:35:23.037680,5.7
197000,1970000000,27371884,10502415,0 days 02:36:08.022650,5.71
198000,1980000000,27516350,10520935,0 days 02:36:53.090364,5.74
199000,1990000000,27646793,10538098,0 days 02:37:37.591488,5.75
200000,2000000000,27825300,10556126,0 days 02:38:25.545251,5.78
201000,2010000000,27976539,10574140,0 days 02:39:14.999951,5.8
202000,2020000000,28127741,10592220,0 days 02:40:01.557970,5.82
203000,2030000000,28290930,10610997,0 days 02:40:50.547010,5.83
204000,2040000000,28424321,10628141,0 days 02:41:36.739722,5.85
