chunk,rows_processed,n_blacklisted,n_skipped,max_block,processed_after,ram_usage_gb
88000,880000000,20041122,6753577,11068870,0 days 02:00:16.016090,10.5
89000,890000000,20228612,6794554,11084808,0 days 02:01:09.583611,10.55
90000,900000000,20422290,6849159,11100117,0 days 02:02:02.183263,10.59
91000,910000000,20664767,6902602,11115251,0 days 02:02:54.395463,10.65
92000,920000000,20885243,6949982,11131569,0 days 02:03:45.832436,10.7
93000,930000000,21092872,7000742,11146811,0 days 02:04:37.511510,10.74
94000,940000000,21281945,7050484,11161478,0 days 02:05:29.180864,10.79
95000,950000000,21507659,7106750,11177129,0 days 02:06:22.042823,10.84
96000,960000000,21740300,7161549,11192689,0 days 02:07:15.279377,10.9
97000,970000000,21955981,7216965,11207748,0 days 02:08:08.341158,10.95
98000,980000000,22179927,7264507,11223674,0 days 02:09:00.445773,11.0
99000,990000000,22413988,7316282,11239419,0 days 02:09:54.481381,11.05
100000,1000000000,22644221,7374462,11255651,0 days 02:10:48.239963,11.1
101000,1010000000,22848382,7426640,11271153,0 days 02:11:40.144119,11.15
102000,1020000000,23077857,7483640,11285715,0 days 02:12:31.548917,11.2
103000,1030000000,23322396,7544775,11300373,0 days 02:13:27.011535,11.25
104000,1040000000,23567241,7600522,11314738,0 days 02:14:20.845776,11.31
105000,1050000000,23854653,7662428,11329919,0 days 02:15:15.245372,11.37
106000,1060000000,24050971,7713922,11345051,0 days 02:16:06.710959,11.42
107000,1070000000,24244061,7757945,11360872,0 days 02:16:59.054821,11.46
108000,1080000000,24452502,7809660,11375437,0 days 02:17:53.190053,11.51
109000,1090000000,24638348,7855095,11389764,0 days 02:18:45.305374,11.55
110000,1100000000,24812977,7896610,11404230,0 days 02:19:38.798328,11.59
111000,1110000000,24999266,7943877,11418163,0 days 02:20:32.470023,11.63
112000,1120000000,25172673,7987746,11432325,0 days 02:21:25.678687,11.67
113000,1130000000,25488950,8027691,11447084,0 days 02:22:19.717111,11.74
114000,1140000000,25769695,8070977,11461809,0 days 02:23:14.130061,11.82
115000,1150000000,26015503,8126343,11476540,0 days 02:24:10.001864,11.88
116000,1160000000,26208440,8171410,11491168,0 days 02:25:04.170907,11.93
117000,1170000000,26391101,8221424,11505391,0 days 02:25:58.814926,11.97
118000,1180000000,26585417,8274555,11520011,0 days 02:26:52.004661,12.02
119000,1190000000,26772817,8323276,11534025,0 days 02:27:45.465577,12.05
120000,1200000000,26985865,8385604,11548319,0 days 02:28:40.479136,12.11
121000,1210000000,27207794,8450566,11563333,0 days 02:29:38.098167,12.16
122000,1220000000,27422076,8503963,11577970,0 days 02:30:33.010453,12.21
123000,1230000000,27698996,8595759,11593438,0 days 02:31:32.319320,12.28
124000,1240000000,28007587,8678516,11608886,0 days 02:32:32.354170,12.35
125000,1250000000,28312678,8758702,11624480,0 days 02:33:31.842895,12.43
126000,1260000000,28593577,8837853,11640004,0 days 02:34:29.800230,12.49
127000,1270000000,28846651,8899975,11654968,0 days 02:35:24.165638,12.56
128000,1280000000,29108462,8963438,11669862,0 days 02:36:20.227473,12.62
129000,1290000000,29337277,9023547,11684408,0 days 02:37:15.821911,12.68
130000,1300000000,29599317,9095900,11699463,0 days 02:38:15.468290,12.74
131000,1310000000,29831265,9173250,11714001,0 days 02:39:11.689414,12.79
132000,1320000000,30056790,9243587,11727744,0 days 02:40:07.129253,12.84
133000,1330000000,30288053,9301261,11742134,0 days 02:41:03.000500,12.9
134000,1340000000,30605778,9372888,11756741,0 days 02:42:02.912105,12.98
135000,1350000000,30913040,9445728,11771328,0 days 02:43:03.243609,13.05
136000,1360000000,31220629,9535632,11785999,0 days 02:44:04.249615,13.12
137000,1370000000,31531111,9629172,11800853,0 days 02:45:05.700882,13.19
138000,1380000000,31830794,9709530,11815966,0 days 02:46:10.763398,13.26
139000,1390000000,32168025,9807283,11830991,0 days 02:47:13.869099,13.34
140000,1400000000,32479643,9893758,11845567,0 days 02:48:24.780031,17.45
141000,1410000000,32754735,9973084,11860088,0 days 02:49:24.562312,17.51
142000,1420000000,33053442,10060454,11875153,0 days 02:50:27.978977,17.58
143000,1430000000,33372185,10150806,11889915,0 days 02:51:30.146840,17.65
144000,1440000000,33711568,10237432,11905359,0 days 02:52:31.735816,17.73
145000,1450000000,34022126,10340715,11920581,0 days 02:53:31.945185,17.8
146000,1460000000,34312654,10423955,11935931,0 days 02:54:33.486727,17.87
147000,1470000000,34591049,10497047,11951004,0 days 02:55:33.886673,17.94
148000,1480000000,34874761,10573266,11965999,0 days 02:56:34.995597,18.0
149000,1490000000,35158845,10645258,11980825,0 days 02:57:35.485583,18.06
150000,1500000000,35424235,10706891,11995752,0 days 02:58:37.750813,18.12
151000,1510000000,35713882,10781351,12010697,0 days 02:59:41.160081,18.18
152000,1520000000,36044286,10863063,12026140,0 days 03:00:46.950832,18.25
153000,1530000000,36370946,10943809,12041576,0 days 03:01:54.155475,18.32
154000,1540000000,36695897,11031025,12057152,0 days 03:03:01.542766,18.39
155000,1550000000,37040118,11120098,12072595,0 days 03:04:08.876547,18.48
156000,1560000000,37342680,11202924,12088019,0 days 03:05:16.606588,18.54
157000,1570000000,37660680,11293065,12102967,0 days 03:06:24.495539,18.61
158000,1580000000,37969027,11376752,12118150,0 days 03:07:30.063050,18.68
159000,1590000000,38266278,11451797,12133353,0 days 03:08:35.547563,18.74
160000,1600000000,38593993,11549188,12148449,0 days 03:09:42.077293,18.81
161000,1610000000,38956368,11647354,12163370,0 days 03:10:52.447701,18.89
162000,1620000000,39260971,11721548,12178715,0 days 03:11:59.097158,18.96
163000,1630000000,39593203,11807602,12193681,0 days 03:13:05.083773,19.03
164000,1640000000,39913434,11885543,12208825,0 days 03:14:12.615982,19.1
165000,1650000000,40244941,11952383,12224045,0 days 03:15:20.688843,19.17
166000,1660000000,40619462,12031532,12239337,0 days 03:16:29.566090,19.25
167000,1670000000,40970208,12104635,12254210,0 days 03:17:36.371351,19.33
168000,1680000000,41400503,12179282,12268628,0 days 03:18:48.516575,19.42
169000,1690000000,41930720,12268641,12283378,0 days 03:20:03.368268,19.54
170000,1700000000,42325541,12337341,12295679,0 days 03:21:11.442383,19.62
171000,1710000000,42651279,12392943,12308595,0 days 03:22:20.295516,19.7
172000,1720000000,42970327,12446938,12320790,0 days 03:23:26.998169,19.77
173000,1730000000,43308588,12504020,12333142,0 days 03:24:33.792099,19.84
174000,1740000000,43603723,12562820,12345435,0 days 03:25:40.513198,19.93
175000,1750000000,43841801,12615192,12357251,0 days 03:26:48.940138,19.95
176000,1760000000,44111684,12688695,12368778,0 days 03:27:56.065497,20.0
177000,1770000000,44440353,12753888,12381045,0 days 03:29:04.576713,20.07
178000,1780000000,44792727,12815602,12393171,0 days 03:30:15.842503,20.14
179000,1790000000,45240099,12881526,12404884,0 days 03:31:30.879179,20.23
180000,1800000000,45737289,12973244,12417403,0 days 03:32:48.052637,20.33
181000,1810000000,46109801,13048810,12429474,0 days 03:33:58.689732,20.41
182000,1820000000,46468894,13112546,12441920,0 days 03:35:11.025892,20.48
183000,1830000000,46748966,13170814,12453779,0 days 03:36:19.122033,20.54
184000,1840000000,47011899,13235454,12465107,0 days 03:37:24.423117,20.59
185000,1850000000,47234605,13309840,12476139,0 days 03:38:30.283265,20.64
186000,1860000000,47435602,13364863,12487663,0 days 03:39:33.733619,20.68
187000,1870000000,47591843,13421093,12498313,0 days 03:40:33.501315,20.71
188000,1880000000,47787361,13476549,12510076,0 days 03:41:36.539152,20.75
189000,1890000000,47979735,13527167,12521974,0 days 03:42:42.999730,20.79
190000,1900000000,48190684,13570414,12533639,0 days 03:43:48.143897,20.84
191000,1910000000,48373374,13611012,12545662,0 days 03:44:55.312306,20.89
192000,1920000000,48569770,13656335,12558240,0 days 03:46:03.085498,20.93
193000,1930000000,48760301,13699755,12570327,0 days 03:47:12.691992,20.98
194000,1940000000,48946200,13736239,12583210,0 days 03:48:20.750887,21.02
195000,1950000000,49121678,13781146,12594972,0 days 03:49:25.353448,21.05
196000,1960000000,49288325,13829303,12607050,0 days 03:50:31.353758,21.09
197000,1970000000,49449598,13874270,12618727,0 days 03:51:34.758025,21.12
198000,1980000000,49608822,13911045,12631218,0 days 03:52:40.386998,21.16
199000,1990000000,49783996,13953421,12643199,0 days 03:53:45.995431,21.2
200000,2000000000,49972904,13994073,12655052,0 days 03:54:52.063555,21.24
201000,2010000000,50134211,14031894,12667355,0 days 03:55:56.422859,21.27
202000,2020000000,50281228,14069175,12679200,0 days 03:57:00.494757,21.3
203000,2030000000,50430607,14114156,12690261,0 days 03:58:04.950241,21.33
204000,2040000000,50600493,14153845,12702349,0 days 03:59:12.943736,21.37
205000,2050000000,50771479,14193216,12714458,0 days 04:00:19.273848,21.4
206000,2060000000,50977477,14234938,12726799,0 days 04:01:30.758265,21.44
207000,2070000000,51176143,14276858,12739142,0 days 04:02:39.970999,21.49
208000,2080000000,51346302,14315627,12751435,0 days 04:03:48.574824,21.53
209000,2090000000,51507722,14352851,12763581,0 days 04:04:55.874726,21.56
210000,2100000000,51684678,14396275,12775779,0 days 04:06:01.752552,21.6
211000,2110000000,51874079,14450181,12788125,0 days 04:07:09.399714,21.64
212000,2120000000,52031822,14500880,12800356,0 days 04:08:16.072268,21.66
213000,2130000000,52189038,14549238,12812694,0 days 04:09:22.062460,21.7
214000,2140000000,52348352,14620867,12824491,0 days 04:10:29.817359,21.73
215000,2150000000,52504266,14688524,12836451,0 days 04:11:37.179479,21.76
216000,2160000000,52653155,14746127,12849108,0 days 04:12:44.384321,21.79
217000,2170000000,52801019,14799932,12861384,0 days 04:13:50.901415,21.82
218000,2180000000,52950234,14855975,12873288,0 days 04:14:59.764012,21.86
219000,2190000000,53107779,14911011,12885395,0 days 04:16:07.388092,21.89
220000,2200000000,53258287,14963323,12897370,0 days 04:17:15.595307,21.93
221000,2210000000,53417481,15015511,12908820,0 days 04:18:23.491199,21.97
222000,2220000000,53602779,15081613,12921421,0 days 04:19:36.156151,22.01
223000,2230000000,53778760,15143712,12933463,0 days 04:20:45.809094,22.05
