chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
99000,990000000,27145904,11239419,0 days 01:37:09.112452,4.75
100000,1000000000,27396208,11255651,0 days 01:37:41.683679,4.78
101000,1010000000,27616551,11271153,0 days 01:38:12.899869,4.8
102000,1020000000,27865102,11285715,0 days 01:38:44.261279,4.82
103000,1030000000,28133497,11300373,0 days 01:39:16.592146,4.85
104000,1040000000,28411010,11314738,0 days 01:39:49.213201,4.87
105000,1050000000,28721394,11329919,0 days 01:40:22.144522,4.9
106000,1060000000,28942088,11345051,0 days 01:40:53.466698,4.93
107000,1070000000,29159706,11360872,0 days 01:41:24.805589,4.95
108000,1080000000,29395797,11375437,0 days 01:41:56.275278,4.97
109000,1090000000,29605388,11389764,0 days 01:42:26.926083,4.99
110000,1100000000,29801714,11404230,0 days 01:42:58.348362,5.01
111000,1110000000,30007256,11418163,0 days 01:43:29.542689,5.03
112000,1120000000,30201930,11432325,0 days 01:44:00.392417,5.05
113000,1130000000,30555199,11447084,0 days 01:44:32.276471,5.09
114000,1140000000,30915209,11461809,0 days 01:45:04.657399,5.12
115000,1150000000,31237531,11476540,0 days 01:45:37.702109,5.15
116000,1160000000,31486157,11491168,0 days 01:46:09.900962,5.18
117000,1170000000,31691322,11505391,0 days 01:46:41.212257,5.2
118000,1180000000,31902765,11520011,0 days 01:47:12.687747,5.22
119000,1190000000,32108500,11534025,0 days 01:47:43.983068,5.24
120000,1200000000,32345530,11548319,0 days 01:48:16.548690,5.26
121000,1210000000,32602322,11563333,0 days 01:48:49.013325,5.29
122000,1220000000,32845680,11577970,0 days 01:49:20.762034,5.31
123000,1230000000,33156955,11593438,0 days 01:49:55.153267,5.34
124000,1240000000,33500194,11608886,0 days 01:50:29.752882,5.37
125000,1250000000,33843227,11624480,0 days 01:51:04.064098,5.41
126000,1260000000,34153604,11640004,0 days 01:51:37.735975,5.44
127000,1270000000,34448821,11654968,0 days 01:52:10.279611,5.47
128000,1280000000,34754104,11669862,0 days 01:52:43.925317,5.5
129000,1290000000,35029192,11684408,0 days 01:53:18.544855,5.53
130000,1300000000,35318978,11699463,0 days 01:53:53.079308,5.56
131000,1310000000,35582484,11714001,0 days 01:54:28.451296,5.58
132000,1320000000,35830755,11727744,0 days 01:55:01.480801,5.61
133000,1330000000,36090615,11742134,0 days 01:55:34.095730,5.63
134000,1340000000,36448739,11756741,0 days 01:56:08.138278,5.67
135000,1350000000,36792013,11771328,0 days 01:56:42.694352,5.7
136000,1360000000,37140260,11785999,0 days 01:57:17.955852,5.73
137000,1370000000,37495452,11800853,0 days 01:57:53.040267,5.77
138000,1380000000,37832552,11815966,0 days 01:58:28.213976,5.8
139000,1390000000,38222756,11830991,0 days 01:59:03.812972,5.84
