chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
100000,1000000000,45761011,7285983,0 days 01:13:12.389764,7.92
101000,1010000000,46039439,7328922,0 days 01:13:48.692779,7.95
102000,1020000000,46341105,7371601,0 days 01:14:25.020339,7.98
103000,1030000000,46680446,7416503,0 days 01:15:04.420423,8.01
104000,1040000000,47035747,7458658,0 days 01:15:43.857282,8.08
105000,1050000000,47426492,7499701,0 days 01:16:23.955980,8.09
106000,1060000000,47808448,7542861,0 days 01:17:04.491168,8.12
107000,1070000000,48192474,7586096,0 days 01:17:46.095776,8.24
108000,1080000000,48632631,7626751,0 days 01:18:26.952621,8.2
109000,1090000000,49000576,7670271,0 days 01:19:08.196116,8.24
110000,1100000000,49409428,7713334,0 days 01:19:48.471863,8.28
111000,1110000000,49824491,7751375,0 days 01:20:27.027956,8.32
112000,1120000000,50392836,7788775,0 days 01:21:08.818673,8.38
113000,1130000000,50895452,7825074,0 days 01:21:48.783628,8.42
114000,1140000000,51396767,7858632,0 days 01:22:26.086721,8.47
115000,1150000000,52092611,7891467,0 days 01:23:07.425077,8.54
116000,1160000000,52458599,7925956,0 days 01:23:44.145336,8.58
117000,1170000000,52827398,7961475,0 days 01:24:23.335865,8.61
118000,1180000000,53245452,7995714,0 days 01:25:02.691103,8.66
119000,1190000000,53679768,8030580,0 days 01:25:40.487224,8.7
120000,1200000000,54144468,8068136,0 days 01:26:20.263464,8.75
121000,1210000000,54512278,8105801,0 days 01:26:57.093739,8.78
122000,1220000000,54899730,8144487,0 days 01:27:36.177151,8.82
123000,1230000000,55240549,8181782,0 days 01:28:13.265054,8.85
124000,1240000000,55558922,8222386,0 days 01:28:48.258876,8.88
125000,1250000000,55903081,8257462,0 days 01:29:22.499956,8.92
126000,1260000000,56249876,8293625,0 days 01:29:56.719239,8.95
127000,1270000000,56618021,8328321,0 days 01:30:31.787299,8.99
128000,1280000000,56988539,8365341,0 days 01:31:08.872668,9.02
129000,1290000000,57390277,8404357,0 days 01:31:45.479767,9.07
130000,1300000000,57746683,8442783,0 days 01:32:21.494786,9.1
131000,1310000000,58071790,8481155,0 days 01:32:57.132823,9.13
132000,1320000000,58426519,8522189,0 days 01:33:33.082615,9.16
133000,1330000000,58782638,8564591,0 days 01:34:09.630713,9.2
134000,1340000000,59099745,8603027,0 days 01:34:44.534946,9.23
135000,1350000000,59411031,8640693,0 days 01:35:21.175141,9.26
136000,1360000000,59685044,8676979,0 days 01:35:54.563712,9.29
137000,1370000000,60002306,8713654,0 days 01:36:28.110979,9.32
138000,1380000000,60357784,8752379,0 days 01:37:02.071674,9.35
139000,1390000000,60724038,8791346,0 days 01:37:36.920902,9.39
140000,1400000000,61033027,8826932,0 days 01:38:10.343743,9.42
141000,1410000000,61309217,8860206,0 days 01:38:42.646841,9.45
142000,1420000000,61598862,8893476,0 days 01:39:15.380193,9.48
143000,1430000000,61812573,8917289,0 days 01:39:43.419530,9.5
144000,1440000000,62073522,8944512,0 days 01:40:13.345159,9.52
145000,1450000000,62364690,8975459,0 days 01:40:45.068501,9.55
146000,1460000000,62613449,9005487,0 days 01:41:17.517254,9.57
147000,1470000000,62884122,9037268,0 days 01:41:49.922949,9.6
148000,1480000000,63185302,9074584,0 days 01:42:23.562949,9.63
149000,1490000000,63794117,9109425,0 days 01:42:58.892823,9.69
150000,1500000000,64345273,9140231,0 days 01:43:35.902192,9.75
151000,1510000000,65051265,9175079,0 days 01:44:12.916038,9.81
152000,1520000000,65320737,9214544,0 days 01:44:47.554232,9.84
153000,1530000000,65571286,9253401,0 days 01:45:21.765848,9.87
154000,1540000000,65837525,9290882,0 days 01:45:55.850091,9.89
155000,1550000000,66110051,9328275,0 days 01:46:30.444566,9.92
156000,1560000000,66335460,9367827,0 days 01:47:03.620609,9.94
157000,1570000000,66549417,9403529,0 days 01:47:37.416851,9.96
158000,1580000000,66730387,9430304,0 days 01:48:08.004574,9.98
159000,1590000000,66993924,9460745,0 days 01:48:41.218301,10.04
160000,1600000000,67286840,9488125,0 days 01:49:14.771482,10.04
161000,1610000000,67519923,9516640,0 days 01:49:48.854982,10.06
162000,1620000000,67795910,9551735,0 days 01:50:23.999207,10.08
163000,1630000000,68047496,9580656,0 days 01:50:57.159199,10.11
164000,1640000000,68331153,9614180,0 days 01:51:33.163736,10.14
165000,1650000000,68576821,9643067,0 days 01:52:06.398594,10.16
166000,1660000000,68781045,9664926,0 days 01:52:37.944390,10.18
167000,1670000000,69023039,9690219,0 days 01:53:10.554692,10.2
168000,1680000000,69338561,9717730,0 days 01:53:44.219690,10.23
169000,1690000000,69692047,9749522,0 days 01:54:19.647251,10.27
170000,1700000000,70004677,9783706,0 days 01:54:55.360660,10.3
171000,1710000000,70322158,9817614,0 days 01:55:32.571384,10.33
172000,1720000000,70627759,9845389,0 days 01:56:08.209807,10.36
173000,1730000000,70921485,9875390,0 days 01:56:43.450738,10.39
174000,1740000000,71272152,9904316,0 days 01:57:20.219440,10.42
175000,1750000000,71683802,9934088,0 days 01:57:57.983055,10.47
176000,1760000000,72130582,9964166,0 days 01:58:36.290099,10.51
177000,1770000000,72553183,9993400,0 days 01:59:15.511069,10.55
178000,1780000000,72945748,10022918,0 days 01:59:54.843114,10.59
179000,1790000000,73377976,10051375,0 days 02:00:34.650726,10.63
180000,1800000000,73795632,10081765,0 days 02:01:16.480007,10.67
181000,1810000000,74196525,10109505,0 days 02:01:57.176715,10.71
182000,1820000000,74622701,10137452,0 days 02:02:36.742804,10.75
183000,1830000000,75078646,10165925,0 days 02:03:18.776393,10.8
184000,1840000000,75571755,10195768,0 days 02:04:04.540371,10.88
185000,1850000000,76050775,10226123,0 days 02:04:46.262877,10.89
186000,1860000000,76462445,10255110,0 days 02:05:26.728935,10.93
187000,1870000000,76855982,10284147,0 days 02:06:06.890502,10.97
188000,1880000000,77197779,10307890,0 days 02:06:43.936827,11.01
189000,1890000000,77533398,10328672,0 days 02:07:20.594049,11.04
190000,1900000000,77892977,10350043,0 days 02:07:59.948773,11.07
