chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
99000,990000000,11172368,11239419,0 days 01:54:11.604620,2.94
100000,1000000000,11273835,11255651,0 days 01:54:51.371538,2.95
101000,1010000000,11370721,11271153,0 days 01:55:31.136275,2.96
102000,1020000000,11486089,11285715,0 days 01:56:09.599779,2.98
103000,1030000000,11602072,11300373,0 days 01:56:48.803797,2.99
104000,1040000000,11724613,11314738,0 days 01:57:30.158542,3.01
105000,1050000000,11867804,11329919,0 days 01:58:10.872005,3.03
106000,1060000000,11966475,11345051,0 days 01:58:48.959208,3.04
107000,1070000000,12066688,11360872,0 days 01:59:28.208431,3.05
108000,1080000000,12169143,11375437,0 days 02:00:06.215547,3.07
109000,1090000000,12262083,11389764,0 days 02:00:43.766693,3.08
110000,1100000000,12341729,11404230,0 days 02:01:23.384947,3.09
111000,1110000000,12433127,11418163,0 days 02:02:05.298024,3.1
112000,1120000000,12524104,11432325,0 days 02:02:44.391726,3.12
113000,1130000000,12693754,11447084,0 days 02:03:23.812575,3.14
114000,1140000000,12848829,11461809,0 days 02:04:03.556997,3.16
115000,1150000000,12972114,11476540,0 days 02:04:44.475117,3.17
116000,1160000000,13052803,11491168,0 days 02:05:24.714502,3.18
117000,1170000000,13145688,11505391,0 days 02:06:07.189182,3.19
118000,1180000000,13248204,11520011,0 days 02:06:46.521296,3.21
119000,1190000000,13349534,11534025,0 days 02:07:25.392213,3.23
120000,1200000000,13450801,11548319,0 days 02:08:05.217706,3.24
121000,1210000000,13562319,11563333,0 days 02:08:45.559602,3.25
122000,1220000000,13675395,11577970,0 days 02:09:25.016177,3.28
123000,1230000000,13804688,11593438,0 days 02:10:10.554149,3.28
124000,1240000000,13949309,11608886,0 days 02:10:54.695227,3.3
125000,1250000000,14082706,11624480,0 days 02:11:37.499408,3.32
126000,1260000000,14203696,11640004,0 days 02:12:18.467928,3.34
127000,1270000000,14320804,11654968,0 days 02:12:57.368151,3.35
128000,1280000000,14431685,11669862,0 days 02:13:39.489038,4.04
129000,1290000000,14536381,11684408,0 days 02:14:22.372275,4.05
130000,1300000000,14647692,11699463,0 days 02:15:04.132624,4.07
